provincia|comuna|fraccion|radio|nombre_bapis|a_cargo
2|1|1|1||CEMENTO
2|1|2|1|VILLA 31-31 BIS|BAPIS
2|1|2|2|VILLA 31-31 BIS|BAPIS
2|1|2|3|VILLA 31-31 BIS|BAPIS
2|1|2|4|VILLA 31-31 BIS|BAPIS
2|1|2|5|VILLA 31-31 BIS|BAPIS
2|1|2|7|VILLA 31-31 BIS|BAPIS
2|1|2|8|VILLA 31-31 BIS|BAPIS
2|1|2|9|VILLA 31-31 BIS|BAPIS
2|1|2|10|VILLA 31-31 BIS|BAPIS
2|1|2|11|VILLA 31-31 BIS|BAPIS
2|1|2|12|VILLA 31-31 BIS|BAPIS
2|1|2|13|VILLA 31-31 BIS|BAPIS
2|1|2|14|VILLA 31-31 BIS|BAPIS
2|1|2|15|VILLA 31-31 BIS|BAPIS
2|1|2|16|VILLA 31-31 BIS|BAPIS
2|1|2|17|VILLA 31-31 BIS|BAPIS
2|1|2|18|VILLA 31-31 BIS|BAPIS
2|1|2|19|VILLA 31-31 BIS|BAPIS
2|1|2|20|VILLA 31-31 BIS|BAPIS
2|1|2|21|VILLA 31-31 BIS|BAPIS
2|1|2|22|VILLA 31-31 BIS|BAPIS
2|1|2|23|VILLA 31-31 BIS|BAPIS
2|1|3|1|VILLA 31-31 BIS|BAPIS
2|1|3|2|VILLA 31-31 BIS|BAPIS
2|1|3|3|VILLA 31-31 BIS|BAPIS
2|1|3|4|VILLA 31-31 BIS|BAPIS
2|1|3|5|VILLA 31-31 BIS|BAPIS
2|1|3|6|VILLA 31-31 BIS|BAPIS
2|1|3|7|VILLA 31-31 BIS|BAPIS
2|1|3|8|VILLA 31-31 BIS|BAPIS
2|1|3|9|VILLA 31-31 BIS|BAPIS
2|1|3|10|VILLA 31-31 BIS|BAPIS
2|1|3|11|VILLA 31-31 BIS|BAPIS
2|1|3|12|VILLA 31-31 BIS|BAPIS
2|1|3|13|VILLA 31-31 BIS|BAPIS
2|1|3|14|VILLA 31-31 BIS|BAPIS
2|1|3|15|VILLA 31-31 BIS|BAPIS
2|1|3|16|VILLA 31-31 BIS|BAPIS
2|1|3|17|VILLA 31-31 BIS|BAPIS
2|1|3|18|VILLA 31-31 BIS|BAPIS
2|1|3|19|VILLA 31-31 BIS|BAPIS
2|1|4|1||CEMENTO
2|1|4|2||CEMENTO
2|1|4|3||CEMENTO
2|1|4|4||CEMENTO
2|1|4|5||CEMENTO
2|1|4|6||CEMENTO
2|1|4|7||CEMENTO
2|1|4|8||CEMENTO
2|1|5|1||CEMENTO
2|1|5|2||CEMENTO
2|1|5|3||CEMENTO
2|1|5|4||CEMENTO
2|1|5|5||CEMENTO
2|1|5|6||CEMENTO
2|1|5|7||CEMENTO
2|1|6|1||CEMENTO
2|1|6|2||CEMENTO
2|1|6|3||CEMENTO
2|1|6|4||CEMENTO
2|1|6|5||CEMENTO
2|1|6|6||CEMENTO
2|1|6|7||CEMENTO
2|1|6|8||CEMENTO
2|1|6|9||CEMENTO
2|1|6|10||CEMENTO
2|1|7|1||CEMENTO
2|1|7|2||CEMENTO
2|1|7|3||CEMENTO
2|1|7|4||CEMENTO
2|1|7|5||CEMENTO
2|1|7|6||CEMENTO
2|1|7|7||CEMENTO
2|1|7|8||CEMENTO
2|1|7|9||CEMENTO
2|1|7|10||CEMENTO
2|1|7|11||CEMENTO
2|1|7|12||CEMENTO
2|1|7|13||CEMENTO
2|1|8|1||CEMENTO
2|1|8|2||CEMENTO
2|1|8|3||CEMENTO
2|1|8|4||CEMENTO
2|1|8|5||CEMENTO
2|1|8|6||CEMENTO
2|1|8|7||CEMENTO
2|1|8|8||CEMENTO
2|1|8|9||CEMENTO
2|1|8|10||CEMENTO
2|1|8|11||CEMENTO
2|1|9|1||CEMENTO
2|1|9|2||CEMENTO
2|1|9|3||CEMENTO
2|1|9|4||CEMENTO
2|1|9|5||CEMENTO
2|1|9|6||CEMENTO
2|1|9|7||CEMENTO
2|1|9|8||CEMENTO
2|1|9|9||CEMENTO
2|1|9|10||CEMENTO
2|1|9|11||CEMENTO
2|1|9|12||CEMENTO
2|1|9|13||CEMENTO
2|1|9|14||CEMENTO
2|1|9|15||CEMENTO
2|1|9|16||CEMENTO
2|1|9|17||CEMENTO
2|1|9|18||CEMENTO
2|1|9|19||CEMENTO
2|1|9|20||CEMENTO
2|1|9|21||CEMENTO
2|1|10|1||CEMENTO
2|1|10|2||CEMENTO
2|1|10|3||CEMENTO
2|1|10|4||CEMENTO
2|1|10|5||CEMENTO
2|1|10|6||CEMENTO
2|1|10|7||CEMENTO
2|1|10|8||CEMENTO
2|1|10|9||CEMENTO
2|1|10|10||CEMENTO
2|1|10|11||CEMENTO
2|1|10|12||CEMENTO
2|1|10|13||CEMENTO
2|1|10|14||CEMENTO
2|1|10|15||CEMENTO
2|1|10|16||CEMENTO
2|1|11|1||CEMENTO
2|1|11|2||CEMENTO
2|1|11|3||CEMENTO
2|1|11|4||CEMENTO
2|1|11|5||CEMENTO
2|1|11|6||CEMENTO
2|1|11|7||CEMENTO
2|1|11|8||CEMENTO
2|1|11|9||CEMENTO
2|1|11|10||CEMENTO
2|1|11|11||CEMENTO
2|1|11|12||CEMENTO
2|1|11|13||CEMENTO
2|1|11|14||CEMENTO
2|1|11|15||CEMENTO
2|1|12|1||CEMENTO
2|1|12|2||CEMENTO
2|1|12|3||CEMENTO
2|1|12|4||CEMENTO
2|1|12|5||CEMENTO
2|1|12|6||CEMENTO
2|1|12|7||CEMENTO
2|1|12|8||CEMENTO
2|1|12|9||CEMENTO
2|1|12|10||CEMENTO
2|1|12|11||CEMENTO
2|1|12|12||CEMENTO
2|1|12|13||CEMENTO
2|1|12|14||CEMENTO
2|1|13|1||CEMENTO
2|1|13|2||CEMENTO
2|1|13|3||CEMENTO
2|1|13|4||CEMENTO
2|1|13|5||CEMENTO
2|1|13|6||CEMENTO
2|1|13|7||CEMENTO
2|1|13|8||CEMENTO
2|1|13|9||CEMENTO
2|1|13|10||CEMENTO
2|1|13|11||CEMENTO
2|1|13|12||CEMENTO
2|1|13|13||CEMENTO
2|1|13|14||CEMENTO
2|1|13|15||CEMENTO
2|1|13|16|RODRIGO BUENO|BAPIS
2|1|13|17||CEMENTO
2|1|13|18||CEMENTO
2|1|14|1||CEMENTO
2|1|14|2||CEMENTO
2|1|14|3||CEMENTO
2|1|14|4||CEMENTO
2|1|14|5||CEMENTO
2|1|14|6||CEMENTO
2|1|14|7||CEMENTO
2|1|14|8||CEMENTO
2|1|14|9||CEMENTO
2|1|14|10||CEMENTO
2|1|14|11||CEMENTO
2|1|14|12||CEMENTO
2|1|15|1||CEMENTO
2|1|15|2||CEMENTO
2|1|15|3||CEMENTO
2|1|15|4||CEMENTO
2|1|15|5||CEMENTO
2|1|15|6||CEMENTO
2|1|15|7||CEMENTO
2|1|15|8||CEMENTO
2|1|15|9||CEMENTO
2|1|15|10||CEMENTO
2|1|15|11||CEMENTO
2|1|16|1||CEMENTO
2|1|16|2||CEMENTO
2|1|16|3||CEMENTO
2|1|16|4||CEMENTO
2|1|16|5||CEMENTO
2|1|16|6||CEMENTO
2|1|16|7||CEMENTO
2|1|16|8||CEMENTO
2|1|16|9||CEMENTO
2|1|16|10||CEMENTO
2|1|16|11||CEMENTO
2|1|16|12||CEMENTO
2|1|17|1||CEMENTO
2|1|17|2||CEMENTO
2|1|17|3||CEMENTO
2|1|17|4||CEMENTO
2|1|17|5||CEMENTO
2|1|17|6||CEMENTO
2|1|17|7||CEMENTO
2|1|17|8||CEMENTO
2|1|17|9||CEMENTO
2|1|17|10||CEMENTO
2|1|17|11||CEMENTO
2|1|18|1||CEMENTO
2|1|18|2||CEMENTO
2|1|18|3||CEMENTO
2|1|18|4||CEMENTO
2|1|18|5||CEMENTO
2|1|18|6||CEMENTO
2|1|18|7||CEMENTO
2|1|18|8||CEMENTO
2|1|18|9||CEMENTO
2|1|19|1||CEMENTO
2|1|19|2||CEMENTO
2|1|19|3||CEMENTO
2|1|19|4||CEMENTO
2|1|19|5||CEMENTO
2|1|19|6||CEMENTO
2|1|19|7||CEMENTO
2|1|19|8||CEMENTO
2|1|19|9||CEMENTO
2|1|20|1||CEMENTO
2|1|20|2||CEMENTO
2|1|20|3||CEMENTO
2|1|20|4||CEMENTO
2|1|20|5||CEMENTO
2|1|20|6||CEMENTO
2|1|20|7||CEMENTO
2|1|20|8||CEMENTO
2|1|20|9||CEMENTO
2|1|20|10||CEMENTO
2|1|21|1||CEMENTO
2|1|21|2||CEMENTO
2|1|21|3||CEMENTO
2|1|21|4||CEMENTO
2|1|21|5||CEMENTO
2|1|21|6||CEMENTO
2|1|21|7||CEMENTO
2|1|21|8||CEMENTO
2|1|21|9||CEMENTO
2|1|21|10||CEMENTO
2|1|22|1||CEMENTO
2|1|22|2||CEMENTO
2|1|22|3||CEMENTO
2|1|22|4||CEMENTO
2|1|22|5||CEMENTO
2|1|22|6||CEMENTO
2|1|22|7||CEMENTO
2|1|22|8||CEMENTO
2|1|22|9||CEMENTO
2|1|22|10||CEMENTO
2|1|23|1||CEMENTO
2|1|23|2||CEMENTO
2|1|23|3||CEMENTO
2|1|23|4||CEMENTO
2|1|23|5||CEMENTO
2|1|23|6||CEMENTO
2|1|23|7||CEMENTO
2|1|23|8||CEMENTO
2|1|23|9||CEMENTO
2|1|23|10||CEMENTO
2|1|24|1||CEMENTO
2|1|24|2||CEMENTO
2|1|24|3||CEMENTO
2|1|24|4||CEMENTO
2|1|24|5||CEMENTO
2|1|24|6||CEMENTO
2|1|24|7||CEMENTO
2|1|24|8||CEMENTO
2|1|25|1||CEMENTO
2|1|25|2||CEMENTO
2|1|25|3||CEMENTO
2|1|25|4||CEMENTO
2|1|25|5||CEMENTO
2|1|25|6||CEMENTO
2|1|25|7||CEMENTO
2|1|25|8||CEMENTO
2|1|25|9||CEMENTO
2|1|25|10||CEMENTO
2|1|25|11||CEMENTO
2|1|26|1||CEMENTO
2|1|26|2||CEMENTO
2|1|26|3||CEMENTO
2|1|26|4||CEMENTO
2|1|26|5||CEMENTO
2|1|26|6||CEMENTO
2|1|26|7||CEMENTO
2|1|26|8||CEMENTO
2|1|26|9||CEMENTO
2|1|27|1||CEMENTO
2|1|27|2||CEMENTO
2|1|27|3||CEMENTO
2|1|27|4||CEMENTO
2|1|27|5||CEMENTO
2|1|27|6||CEMENTO
2|1|27|7||CEMENTO
2|1|27|8||CEMENTO
2|1|27|9||CEMENTO
2|1|27|10||CEMENTO
2|1|28|1||CEMENTO
2|1|28|2||CEMENTO
2|1|28|3||CEMENTO
2|1|28|4||CEMENTO
2|1|28|5||CEMENTO
2|1|28|6||CEMENTO
2|1|28|7||CEMENTO
2|1|28|8||CEMENTO
2|1|28|9||CEMENTO
2|1|28|10||CEMENTO
2|1|28|11||CEMENTO
2|1|28|12||CEMENTO
2|1|28|13||CEMENTO
2|1|29|1||CEMENTO
2|1|29|2||CEMENTO
2|1|29|3||CEMENTO
2|1|29|4||CEMENTO
2|1|29|5||CEMENTO
2|1|29|6||CEMENTO
2|1|29|7||CEMENTO
2|1|29|8||CEMENTO
2|1|29|9||CEMENTO
2|1|30|1|VILLA 31-31 BIS|BAPIS
2|1|30|2|VILLA 31-31 BIS|BAPIS
2|1|30|3|VILLA 31-31 BIS|BAPIS
2|1|30|4|VILLA 31-31 BIS|BAPIS
2|1|30|5|VILLA 31-31 BIS|BAPIS
2|1|30|6|VILLA 31-31 BIS|BAPIS
2|1|30|7|VILLA 31-31 BIS|BAPIS
2|1|30|8|VILLA 31-31 BIS|BAPIS
2|1|30|9|VILLA 31-31 BIS|BAPIS
2|1|30|10|VILLA 31-31 BIS|BAPIS
2|1|30|11|VILLA 31-31 BIS|BAPIS
2|1|30|12|VILLA 31-31 BIS|BAPIS
2|1|30|13|VILLA 31-31 BIS|BAPIS
2|2|1|1||CEMENTO
2|2|1|2|ASENTAMIENTO SALDIAS|COMUNEROS
2|2|2|1||CEMENTO
2|2|2|2||CEMENTO
2|2|2|3||CEMENTO
2|2|2|4||CEMENTO
2|2|2|5||CEMENTO
2|2|2|6||CEMENTO
2|2|2|7||CEMENTO
2|2|2|8||CEMENTO
2|2|3|1||CEMENTO
2|2|3|2||CEMENTO
2|2|3|3||CEMENTO
2|2|3|4||CEMENTO
2|2|3|5||CEMENTO
2|2|3|6||CEMENTO
2|2|3|7||CEMENTO
2|2|3|8||CEMENTO
2|2|4|1||CEMENTO
2|2|4|2||CEMENTO
2|2|4|3||CEMENTO
2|2|4|4||CEMENTO
2|2|4|5||CEMENTO
2|2|4|6||CEMENTO
2|2|4|7||CEMENTO
2|2|4|8||CEMENTO
2|2|4|9||CEMENTO
2|2|4|10||CEMENTO
2|2|5|1||CEMENTO
2|2|5|2||CEMENTO
2|2|5|3||CEMENTO
2|2|5|4||CEMENTO
